InstanceType,CPU,Memory,Storage,Cost
windows-d64v3-standard,64,256,1600,6.016
linux-d2v4-lowpriority,2,8,0,0.0192
windows-d2v4-lowpriority,2,8,0,0.0752
linux-d4v4-lowpriority,4,16,0,0.0384
windows-d4v4-lowpriority,4,16,0,0.15
linux-d8v4-lowpriority,8,32,0,0.0768
windows-d8v4-lowpriority,8,32,0,0.301
linux-d16v4-lowpriority,16,64,0,0.154
windows-d16v4-lowpriority,16,64,0,0.602
linux-d32v4-lowpriority,32,128,0,0.307
windows-d32v4-lowpriority,32,128,0,1.203
linux-d48v4-lowpriority,48,192,0,0.461
windows-d48v4-lowpriority,48,192,0,1.805
linux-d64v4-lowpriority,64,256,0,0.614
windows-d64v4-lowpriority,64,256,0,2.406
linux-d2v4-standard,2,8,0,0.096
windows-d2v4-standard,2,8,0,0.188
linux-d4v4-standard,4,16,0,0.192
windows-d4v4-standard,4,16,0,0.376
linux-d8v4-standard,8,32,0,0.384
windows-d8v4-standard,8,32,0,0.752
linux-d16v4-standard,16,64,0,0.768
windows-d16v4-standard,16,64,0,1.504
linux-d32v4-standard,32,128,0,1.536
windows-d32v4-standard,32,128,0,3.008
linux-d48v4-standard,48,192,0,2.304
windows-d48v4-standard,48,192,0,4.512
linux-d64v4-standard,64,256,0,3.072
windows-d64v4-standard,64,256,0,6.016
linux-d2v5-standard,2,8,,0.096
windows-d2v5-standard,2,8,,0.188
linux-d4v5-standard,4,16,,0.192
windows-d4v5-standard,4,16,,0.376
linux-d8v5-standard,8,32,,0.384
windows-d8v5-standard,8,32,,0.752
linux-d16v5-standard,16,64,,0.768
windows-d16v5-standard,16,64,,1.504
linux-d32v5-standard,32,128,,1.536
windows-d32v5-standard,32,128,,3.008
linux-d48v5-standard,48,192,,2.304
windows-d48v5-standard,48,192,,4.512
linux-d64v5-standard,64,256,,3.072
windows-d64v5-standard,64,256,,6.016
linux-d96v5-standard,96,384,,4.608
windows-d96v5-standard,96,384,,9.024
linux-e2adsv5-standard,2,16,75,0.131
windows-e2adsv5-standard,2,16,75,0.223
linux-e4-2adsv5-standard,2,32,150,0.262
windows-e4-2adsv5-standard,2,32,150,0.446
linux-e4adsv5-standard,4,32,150,0.262
windows-e4adsv5-standard,4,32,150,0.446
linux-e8-2adsv5-standard,2,64,300,0.524
windows-e8-2adsv5-standard,2,64,300,0.892
linux-e8-4adsv5-standard,4,64,300,0.524
windows-e8-4adsv5-standard,4,64,300,0.892
linux-e8adsv5-standard,8,64,300,0.524
windows-e8adsv5-standard,8,64,300,0.892
linux-e16-4adsv5-standard,4,128,600,1.048
windows-e16-4adsv5-standard,4,128,600,1.784
linux-e16-8adsv5-standard,8,128,600,1.048
windows-e16-8adsv5-standard,8,128,600,1.784
linux-e16adsv5-standard,16,128,600,1.048
windows-e16adsv5-standard,16,128,600,1.784
linux-e20adsv5-standard,20,160,750,1.31
windows-e20adsv5-standard,20,160,750,2.23
linux-e32-8adsv5-standard,8,256,1200,2.096
windows-e32-8adsv5-standard,8,256,1200,3.568
linux-e32-16adsv5-standard,16,256,1200,2.096
windows-e32-16adsv5-standard,16,256,1200,3.568
linux-e32adsv5-standard,32,256,1200,2.096
windows-e32adsv5-standard,32,256,1200,3.568
linux-e48adsv5-standard,48,384,1800,3.144
windows-e48adsv5-standard,48,384,1800,5.352
linux-e64-16adsv5-standard,16,512,2400,4.192
windows-e64-16adsv5-standard,16,512,2400,7.136
linux-e64-32adsv5-standard,32,512,2400,4.192
windows-e64-32adsv5-standard,32,512,2400,7.136
linux-e64adsv5-standard,64,512,2400,4.192
windows-e64adsv5-standard,64,512,2400,7.136
linux-e96-24adsv5-standard,24,672,3600,6.288
windows-e96-24adsv5-standard,24,672,3600,10.704
linux-e96-48adsv5-standard,48,672,3600,6.288
windows-e96-48adsv5-standard,48,672,3600,10.704
linux-e96adsv5-standard,96,672,3600,6.288
windows-e96adsv5-standard,96,672,3600,10.704
linux-e2asv4-lowpriority,2,16,32,0.0252
windows-e2asv4-lowpriority,2,16,32,0.0872
linux-e4-2as-v4-lowpriority,2,32,100,0.0504
windows-e4-2as-v4-lowpriority,2,32,100,0.174
linux-e4asv4-lowpriority,4,32,64,0.0504
windows-e4asv4-lowpriority,4,32,64,0.174
linux-e8-2as-v4-lowpriority,2,64,200,0.101
windows-e8-2as-v4-lowpriority,2,64,200,0.349
linux-e8-4as-v4-lowpriority,4,64,200,0.101
windows-e8-4as-v4-lowpriority,4,64,200,0.349
linux-e8asv4-lowpriority,8,64,128,0.101
windows-e8asv4-lowpriority,8,64,128,0.349
linux-e16-4as-v4-lowpriority,4,128,400,0.202
windows-e16-4as-v4-lowpriority,4,128,400,0.698
linux-e16-8as-v4-lowpriority,8,128,400,0.202
windows-e16-8as-v4-lowpriority,8,128,400,0.698
linux-e16asv4-lowpriority,16,128,256,0.202
windows-e16asv4-lowpriority,16,128,256,0.698
linux-e20asv4-lowpriority,20,160,320,0.252
windows-e20asv4-lowpriority,20,160,320,0.872
linux-e32-8as-v4-lowpriority,8,256,800,0.403
windows-e32-8as-v4-lowpriority,8,256,800,1.395
linux-e32-16as-v4-lowpriority,16,256,800,0.403
windows-e32-16as-v4-lowpriority,16,256,800,1.395
linux-e32asv4-lowpriority,32,256,512,0.403
windows-e32asv4-lowpriority,32,256,512,1.395
linux-e48asv4-lowpriority,48,384,768,0.605
windows-e48asv4-lowpriority,48,384,768,2.093
linux-e64-16as-v4-lowpriority,16,512,1600,0.806
windows-e64-16as-v4-lowpriority,16,512,1600,2.79
linux-e64-32as-v4-lowpriority,32,512,1600,0.806
windows-e64-32as-v4-lowpriority,32,512,1600,2.79
linux-e64asv4-lowpriority,64,432,864,0.806
windows-e64asv4-lowpriority,64,432,864,2.79
linux-e96-24as-v4-lowpriority,24,672,2400,1.21
windows-e96-24as-v4-lowpriority,24,672,2400,4.186
linux-e96-48as-v4-lowpriority,48,672,2400,1.21
windows-e96-48as-v4-lowpriority,48,672,2400,4.186
linux-e96asv4-lowpriority,96,672,1344,1.21
windows-e96asv4-lowpriority,96,672,1344,4.186
linux-e2asv4-standard,2,16,32,0.126
windows-e2asv4-standard,2,16,32,0.218
linux-e4-2as-v4-standard,2,32,64,0.252
windows-e4-2as-v4-standard,2,32,64,0.436
linux-e4asv4-standard,4,32,64,0.252
windows-e4asv4-standard,4,32,64,0.436
linux-e8-2as-v4-standard,2,64,128,0.504
windows-e8-2as-v4-standard,2,64,128,0.872
linux-e8-4as-v4-standard,4,64,128,0.504
windows-e8-4as-v4-standard,4,64,128,0.872
linux-e8asv4-standard,8,64,128,0.504
windows-e8asv4-standard,8,64,128,0.872
linux-e16-4as-v4-standard,4,128,256,1.008
windows-e16-4as-v4-standard,4,128,256,1.744
linux-e16-8as-v4-standard,8,128,256,1.008
windows-e16-8as-v4-standard,8,128,256,1.744
linux-e16asv4-standard,16,128,256,1.008
windows-e16asv4-standard,16,128,256,1.744
linux-e20asv4-standard,20,160,320,1.26
windows-e20asv4-standard,20,160,320,2.18
linux-e32-8as-v4-standard,8,256,512,2.016
windows-e32-8as-v4-standard,8,256,512,3.488
linux-e32-16as-v4-standard,16,256,512,2.016
windows-e32-16as-v4-standard,16,256,512,3.488
linux-e32asv4-standard,32,256,512,2.016
windows-e32asv4-standard,32,256,512,3.488
linux-e48asv4-standard,48,384,768,3.024
windows-e48asv4-standard,48,384,768,5.232
linux-e64-16as-v4-standard,16,512,1024,4.032
windows-e64-16as-v4-standard,16,512,1024,6.976
linux-e64-32as-v4-standard,32,512,1024,4.032
windows-e64-32as-v4-standard,32,512,1024,6.976
linux-e64asv4-standard,64,512,1024,4.032
windows-e64asv4-standard,64,512,1024,6.976
linux-e96-24as-v4-standard,24,672,1344,6.048
windows-e96-24as-v4-standard,24,672,1344,10.464
linux-e96-48as-v4-standard,48,672,1344,6.048
windows-e96-48as-v4-standard,48,672,1344,10.464
linux-e96asv4-standard,96,672,1344,6.048
windows-e96asv4-standard,96,672,1344,10.464
linux-e2asv5-standard,2,16,,0.113
windows-e2asv5-standard,2,16,,0.205
linux-e4-2asv5-standard,2,32,,0.226
windows-e4-2asv5-standard,2,32,,0.41
linux-e4asv5-standard,4,32,,0.226
windows-e4asv5-standard,4,32,,0.41
linux-e8-2asv5-standard,2,64,,0.452
windows-e8-2asv5-standard,2,64,,0.82
linux-e8-4asv5-standard,4,64,,0.452
windows-e8-4asv5-standard,4,64,,0.82
linux-e8asv5-standard,8,64,,0.452
windows-e8asv5-standard,8,64,,0.82
linux-e16-4asv5-standard,4,128,,0.904
windows-e16-4asv5-standard,4,128,,1.64
linux-e16-8asv5-standard,8,128,,0.904
windows-e16-8asv5-standard,8,128,,1.64
linux-e16asv5-standard,16,128,,0.904
windows-e16asv5-standard,16,128,,1.64
linux-e20asv5-standard,20,160,,1.13
windows-e20asv5-standard,20,160,,2.05
linux-e32-8asv5-standard,8,256,,1.808
windows-e32-8asv5-standard,8,256,,3.28
linux-e32-16asv5-standard,16,256,,1.808
windows-e32-16asv5-standard,16,256,,3.28
linux-e32asv5-standard,32,256,,1.808
windows-e32asv5-standard,32,256,,3.28
linux-e48asv5-standard,48,384,,2.712
windows-e48asv5-standard,48,384,,4.92
linux-e64-16asv5-standard,16,512,,3.616
windows-e64-16asv5-standard,16,512,,6.56
linux-e64-32asv5-standard,32,512,,3.616
windows-e64-32asv5-standard,32,512,,6.56
linux-e64asv5-standard,64,512,,3.616
windows-e64asv5-standard,64,512,,6.56
linux-e96-24asv5-standard,24,672,,5.424
windows-e96-24asv5-standard,24,672,,9.84
linux-e96-48asv5-standard,48,672,,5.424
windows-e96-48asv5-standard,48,672,,9.84
linux-e96asv5-standard,96,672,,5.424
windows-e96asv5-standard,96,672,,9.84
linux-e2av4-lowpriority,2,16,50,0.0252
windows-e2av4-lowpriority,2,16,50,0.0872
linux-e4av4-lowpriority,4,32,100,0.0504
windows-e4av4-lowpriority,4,32,100,0.174
linux-e8av4-lowpriority,8,64,200,0.101
windows-e8av4-lowpriority,8,64,200,0.349
linux-e16av4-lowpriority,16,128,400,0.202
windows-e16av4-lowpriority,16,128,400,0.698
linux-e20av4-lowpriority,20,160,500,0.252
windows-e20av4-lowpriority,20,160,500,0.872
linux-e32av4-lowpriority,32,256,800,0.403
windows-e32av4-lowpriority,32,256,800,1.395
linux-e48av4-lowpriority,48,384,1200,0.605
windows-e48av4-lowpriority,48,384,1200,2.093
linux-e64av4-lowpriority,64,432,1600,0.806
windows-e64av4-lowpriority,64,432,1600,2.79
linux-e96av4-lowpriority,96,672,2400,1.21
windows-e96av4-lowpriority,96,672,2400,4.186
linux-e2av4-standard,2,16,50,0.126
windows-e2av4-standard,2,16,50,0.218
linux-e4av4-standard,4,32,100,0.252
windows-e4av4-standard,4,32,100,0.436
linux-e8av4-standard,8,64,200,0.504
windows-e8av4-standard,8,64,200,0.872
linux-e16av4-standard,16,128,400,1.008
windows-e16av4-standard,16,128,400,1.744
linux-e20av4-standard,20,160,500,1.26
windows-e20av4-standard,20,160,500,2.18
linux-e32av4-standard,32,256,800,2.016
windows-e32av4-standard,32,256,800,3.488
linux-e48av4-standard,48,384,1200,3.024
windows-e48av4-standard,48,384,1200,5.232
linux-e64av4-standard,64,512,1600,4.032
windows-e64av4-standard,64,512,1600,6.976
linux-e96av4-standard,96,672,2400,6.048
windows-e96av4-standard,96,672,2400,10.464
linux-e2bdsv5-standard,2,16,75,0.167
windows-e2bdsv5-standard,2,16,75,0.259
linux-e4bdsv5-standard,4,32,150,0.334
windows-e4bdsv5-standard,4,32,150,0.518
linux-e8bdsv5-standard,8,64,300,0.668
windows-e8bdsv5-standard,8,64,300,1.036
linux-e16bdsv5-standard,16,128,600,1.336
windows-e16bdsv5-standard,16,128,600,2.072
linux-e32bdsv5-standard,32,256,1200,2.672
windows-e32bdsv5-standard,32,256,1200,4.144
linux-e48bdsv5-standard,48,384,1800,4.008
windows-e48bdsv5-standard,48,384,1800,6.216
linux-e64bdsv5-standard,64,512,2400,5.344
windows-e64bdsv5-standard,64,512,2400,8.288
linux-e96bdsv5-standard,96,672,3600,8.016
windows-e96bdsv5-standard,96,672,3600,12.432
linux-e112bdsv5-standard,112,672,3800,10.287
windows-e112bdsv5-standard,112,672,3800,15.439
linux-e2bsv5-standard,2,16,,0.149
windows-e2bsv5-standard,2,16,,0.241
linux-e4bsv5-standard,4,32,,0.298
windows-e4bsv5-standard,4,32,,0.482
linux-e8bsv5-standard,8,64,,0.596
windows-e8bsv5-standard,8,64,,0.964
linux-e16bsv5-standard,16,128,,1.192
windows-e16bsv5-standard,16,128,,1.928
linux-e32bsv5-standard,32,256,,2.384
windows-e32bsv5-standard,32,256,,3.856
linux-e48bsv5-standard,48,384,,3.576
windows-e48bsv5-standard,48,384,,5.784
linux-e64bsv5-standard,64,512,,4.768
windows-e64bsv5-standard,64,512,,7.712
linux-e96bsv5-standard,96,672,,7.152
windows-e96bsv5-standard,96,672,,11.568
linux-e112bsv5-standard,112,672,,9.178
windows-e112bsv5-standard,112,672,,14.33
linux-e2dsv4-lowpriority,2,16,75,0.0288
windows-e2dsv4-lowpriority,2,16,75,0.0944
linux-e4-2ds-v4-lowpriority,2,32,150,0.0576
windows-e4-2ds-v4-lowpriority,2,32,150,0.189
linux-e4dsv4-lowpriority,4,32,150,0.0576
windows-e4dsv4-lowpriority,4,32,150,0.189
linux-e8-2ds-v4-lowpriority,2,64,300,0.115
windows-e8-2ds-v4-lowpriority,2,64,300,0.378
linux-e8-4ds-v4-lowpriority,4,64,300,0.115
windows-e8-4ds-v4-lowpriority,4,64,300,0.378
linux-e8dsv4-lowpriority,8,64,300,0.115
windows-e8dsv4-lowpriority,8,64,300,0.378
linux-e16-4ds-v4-lowpriority,4,128,600,0.23
windows-e16-4ds-v4-lowpriority,4,128,600,0.755
linux-e16-8ds-v4-lowpriority,8,128,600,0.23
windows-e16-8ds-v4-lowpriority,8,128,600,0.755
linux-e16dsv4-lowpriority,16,128,600,0.23
windows-e16dsv4-lowpriority,16,128,600,0.755
linux-e20dsv4-lowpriority,20,160,750,0.288
windows-e20dsv4-lowpriority,20,160,750,0.944
linux-e32-8ds-v4-lowpriority,8,256,1200,0.461
windows-e32-8ds-v4-lowpriority,8,256,1200,1.51
linux-e32-16ds-v4-lowpriority,16,256,1200,0.461
windows-e32-16ds-v4-lowpriority,16,256,1200,1.51
linux-e32dsv4-lowpriority,32,256,1200,0.461
windows-e32dsv4-lowpriority,32,256,1200,1.51
linux-e48dsv4-lowpriority,48,384,1800,0.691
windows-e48dsv4-lowpriority,48,384,1800,2.266
linux-e64-16ds-v4-lowpriority,16,504,2400,0.922
windows-e64-16ds-v4-lowpriority,16,504,2400,3.021
linux-e64-32ds-v4-lowpriority,32,504,2400,0.922
windows-e64-32ds-v4-lowpriority,32,504,2400,3.021
linux-e64dsv4-lowpriority,64,504,2400,0.922
windows-e64dsv4-lowpriority,64,504,2400,3.021
linux-e2dsv4-standard,2,16,75,0.144
windows-e2dsv4-standard,2,16,75,0.236
linux-e4-2ds-v4-standard,2,32,150,0.288
windows-e4-2ds-v4-standard,2,32,150,0.472
linux-e4dsv4-standard,4,32,150,0.288
windows-e4dsv4-standard,4,32,150,0.472
linux-e8-2ds-v4-standard,2,64,300,0.576
windows-e8-2ds-v4-standard,2,64,300,0.944
linux-e8-4ds-v4-standard,4,64,300,0.576
windows-e8-4ds-v4-standard,4,64,300,0.944
linux-e8dsv4-standard,8,64,300,0.576
windows-e8dsv4-standard,8,64,300,0.944
linux-e16-4ds-v4-standard,4,128,600,1.152
windows-e16-4ds-v4-standard,4,128,600,1.888
linux-e16-8ds-v4-standard,8,128,600,1.152
windows-e16-8ds-v4-standard,8,128,600,1.888
linux-e16dsv4-standard,16,128,600,1.152
windows-e16dsv4-standard,16,128,600,1.888
linux-e20dsv4-standard,20,160,750,1.44
windows-e20dsv4-standard,20,160,750,2.36
linux-e32-8ds-v4-standard,8,256,1200,2.304
windows-e32-8ds-v4-standard,8,256,1200,3.776
linux-e32-16ds-v4-standard,16,256,1200,2.304
windows-e32-16ds-v4-standard,16,256,1200,3.776
linux-e32dsv4-standard,32,256,1200,2.304
windows-e32dsv4-standard,32,256,1200,3.776
linux-e48dsv4-standard,48,384,1800,3.456
windows-e48dsv4-standard,48,384,1800,5.664
linux-e64-16ds-v4-standard,16,504,2400,4.608
windows-e64-16ds-v4-standard,16,504,2400,7.552
linux-e64-32ds-v4-standard,32,504,2400,4.608
windows-e64-32ds-v4-standard,32,504,2400,7.552
linux-e64dsv4-standard,64,504,2400,4.608
windows-e64dsv4-standard,64,504,2400,7.552
linux-e80idsv4-standard,80,504,2400,5.76
windows-e80idsv4-standard,80,504,2400,9.44
linux-e2dsv5-standard,2,16,75,0.144
windows-e2dsv5-standard,2,16,75,0.236
linux-e4-2dsv5-standard,2,32,150,0.288
windows-e4-2dsv5-standard,2,32,150,0.472
linux-e4dsv5-standard,4,32,150,0.288
windows-e4dsv5-standard,4,32,150,0.472
linux-e8-2dsv5-standard,2,64,300,0.576
windows-e8-2dsv5-standard,2,64,300,0.944
linux-e8-4dsv5-standard,4,64,300,0.576
windows-e8-4dsv5-standard,4,64,300,0.944
linux-e8dsv5-standard,8,64,300,0.576
windows-e8dsv5-standard,8,64,300,0.944
linux-e16-4dsv5-standard,4,128,600,1.152
windows-e16-4dsv5-standard,4,128,600,1.888
linux-e16-8dsv5-standard,8,128,600,1.152
windows-e16-8dsv5-standard,8,128,600,1.888
linux-e16dsv5-standard,16,128,600,1.152
windows-e16dsv5-standard,16,128,600,1.888
linux-e20dsv5-standard,20,160,750,1.44
windows-e20dsv5-standard,20,160,750,2.36
linux-e32-8dsv5-standard,8,256,1200,2.304
windows-e32-8dsv5-standard,8,256,1200,3.776
linux-e32-16dsv5-standard,16,256,1200,2.304
windows-e32-16dsv5-standard,16,256,1200,3.776
linux-e32dsv5-standard,32,256,1200,2.304
windows-e32dsv5-standard,32,256,1200,3.776
linux-e48dsv5-standard,48,384,1800,3.456
windows-e48dsv5-standard,48,384,1800,5.664
linux-e64-16dsv5-standard,16,512,2400,4.608
windows-e64-16dsv5-standard,16,512,2400,7.552
linux-e64-32dsv5-standard,32,512,2400,4.608
windows-e64-32dsv5-standard,32,512,2400,7.552
linux-e64dsv5-standard,64,512,2400,4.608
windows-e64dsv5-standard,64,512,2400,7.552
linux-e96-24dsv5-standard,24,672,2400,6.912
windows-e96-24dsv5-standard,24,672,2400,11.328
linux-e96-48dsv5-standard,48,672,2400,6.912
windows-e96-48dsv5-standard,48,672,2400,11.328
linux-e96dsv5-standard,96,672,3600,6.912
windows-e96dsv5-standard,96,672,3600,11.328
linux-e104idsv5-standard,104,672,3900,8.237
windows-e104idsv5-standard,104,672,3900,13.021
linux-e2dv4-lowpriority,2,16,75,0.0288
windows-e2dv4-lowpriority,2,16,75,0.0944
linux-e4dv4-lowpriority,4,32,150,0.0576
windows-e4dv4-lowpriority,4,32,150,0.189
linux-e8dv4-lowpriority,8,64,300,0.115
windows-e8dv4-lowpriority,8,64,300,0.378
linux-e16dv4-lowpriority,16,128,600,0.23
windows-e16dv4-lowpriority,16,128,600,0.755
linux-e20dv4-lowpriority,20,160,750,0.288
windows-e20dv4-lowpriority,20,160,750,0.944
linux-e32dv4-lowpriority,32,256,1200,0.461
windows-e32dv4-lowpriority,32,256,1200,1.51
linux-e48dv4-lowpriority,48,384,1800,0.691
windows-e48dv4-lowpriority,48,384,1800,2.266
linux-e64dv4-lowpriority,64,504,2400,0.922
windows-e64dv4-lowpriority,64,504,2400,3.021
linux-e2dv4-standard,2,16,75,0.144
windows-e2dv4-standard,2,16,75,0.236
linux-e4dv4-standard,4,32,150,0.288
windows-e4dv4-standard,4,32,150,0.472
linux-e8dv4-standard,8,64,300,0.576
windows-e8dv4-standard,8,64,300,0.944
linux-e16dv4-standard,16,128,600,1.152
windows-e16dv4-standard,16,128,600,1.888
linux-e20dv4-standard,20,160,750,1.44
windows-e20dv4-standard,20,160,750,2.36
linux-e32dv4-standard,32,256,1200,2.304
windows-e32dv4-standard,32,256,1200,3.776
linux-e48dv4-standard,48,384,1800,3.456
windows-e48dv4-standard,48,384,1800,5.664
linux-e64dv4-standard,64,504,2400,4.608
windows-e64dv4-standard,64,504,2400,7.552
linux-e2dv5-standard,2,16,75,0.144
windows-e2dv5-standard,2,16,75,0.236
linux-e4dv5-standard,4,32,150,0.288
windows-e4dv5-standard,4,32,150,0.472
linux-e8dv5-standard,8,64,300,0.576
windows-e8dv5-standard,8,64,300,0.944
linux-e16dv5-standard,16,128,600,1.152
windows-e16dv5-standard,16,128,600,1.888
linux-e20dv5-standard,20,160,750,1.44
windows-e20dv5-standard,20,160,750,2.36
linux-e32dv5-standard,32,256,1200,2.304
windows-e32dv5-standard,32,256,1200,3.776
linux-e48dv5-standard,48,384,1800,3.456
windows-e48dv5-standard,48,384,1800,5.664
linux-e64dv5-standard,64,512,2400,4.608
windows-e64dv5-standard,64,512,2400,7.552
linux-e96dv5-standard,96,672,3600,6.912
windows-e96dv5-standard,96,672,3600,11.328
linux-e104idv5-standard,104,672,3900,8.237
windows-e104idv5-standard,104,672,3900,13.021
linux-e2psv5-standard,2,16,0,0.101
linux-e4psv5-standard,4,32,0,0.202
linux-e8psv5-standard,8,64,0,0.403
linux-e16psv5-standard,16,128,0,0.806
linux-e20psv5-standard,20,160,0,1.008
linux-e32psv5-standard,32,208,0,1.613
linux-e2pdsv5-standard,2,16,75,0.115
linux-e4pdsv5-standard,4,32,150,0.23
linux-e8pdsv5-standard,8,64,300,0.461
linux-e16pdsv5-standard,16,128,600,0.922
linux-e20pdsv5-standard,20,160,750,1.152
linux-e32pdsv5-standard,32,208,1200,1.843
linux-e2sv3-standard,2,16,32,0.133
windows-e2sv3-standard,2,16,32,0.225
linux-e4-2s-v3-standard,2,32,64,0.266
windows-e4-2s-v3-standard,2,32,64,0.45
linux-e4sv3-standard,4,32,64,0.266
windows-e4sv3-standard,4,32,64,0.45
linux-e8-2s-v3-standard,2,64,128,0.532
windows-e8-2s-v3-standard,2,64,128,0.9
linux-e8-4s-v3-standard,4,64,128,0.532
windows-e8-4s-v3-standard,4,64,128,0.9
linux-e8sv3-standard,8,64,128,0.532
windows-e8sv3-standard,8,64,128,0.9
linux-e16-4s-v3-standard,4,128,256,1.064
windows-e16-4s-v3-standard,4,128,256,1.8
linux-e16-8s-v3-standard,8,128,256,1.064
windows-e16-8s-v3-standard,8,128,256,1.8
linux-e16sv3-standard,16,128,256,1.064
windows-e16sv3-standard,16,128,256,1.8
linux-e20sv3-standard,20,160,320,1.46
windows-e20sv3-standard,20,160,320,2.48
linux-e32-8s-v3-standard,8,256,512,2.128
windows-e32-8s-v3-standard,8,256,512,3.6
linux-e32-16s-v3-standard,16,256,512,2.128
windows-e32-16s-v3-standard,16,256,512,3.6
linux-e32sv3-standard,32,256,512,2.128
windows-e32sv3-standard,32,256,512,3.6
linux-e48sv3-standard,48,384,768,3.024
windows-e48sv3-standard,48,384,768,5.232
linux-e64-16s-v3-standard,16,432,864,3.629
windows-e64-16s-v3-standard,16,432,864,6.573
linux-e64-32s-v3-standard,32,432,864,3.629
windows-e64-32s-v3-standard,32,432,864,6.573
linux-e64isv3-standard,64,432,864,3.629
windows-e64isv3-standard,64,432,864,6.573
linux-e64sv3-standard,64,432,864,3.629
windows-e64sv3-standard,64,432,864,6.573
linux-e2sv3-lowpriority,2,16,32,0.0252
windows-e2sv3-lowpriority,2,16,32,0.09
linux-e4sv3-lowpriority,4,32,64,0.053
windows-e4sv3-lowpriority,4,32,64,0.18
linux-e8sv3-lowpriority,8,64,128,0.106
windows-e8sv3-lowpriority,8,64,128,0.36
linux-e16sv3-lowpriority,16,128,256,0.213
windows-e16sv3-lowpriority,16,128,256,0.72
linux-e20sv3-lowpriority,20,160,320,0.252
windows-e20sv3-lowpriority,20,160,320,0.872
linux-e32sv3-lowpriority,32,256,512,0.426
windows-e32sv3-lowpriority,32,256,512,1.44
linux-e48sv3-lowpriority,48,384,768,0.605
windows-e48sv3-lowpriority,48,384,768,2.093
linux-e64sv3-lowpriority,64,432,864,0.726
windows-e64sv3-lowpriority,64,432,864,2.629
linux-e2sv4-lowpriority,2,16,0,0.0252
windows-e2sv4-lowpriority,2,16,0,0.0872
linux-e4-2s-v4-lowpriority,2,32,0,0.0504
windows-e4-2s-v4-lowpriority,2,32,0,0.174
linux-e4sv4-lowpriority,4,32,0,0.0504
windows-e4sv4-lowpriority,4,32,0,0.174
linux-e8-2s-v4-lowpriority,2,64,0,0.101
windows-e8-2s-v4-lowpriority,2,64,0,0.349
linux-e8-4s-v4-lowpriority,4,64,0,0.101
windows-e8-4s-v4-lowpriority,4,64,0,0.349
linux-e8sv4-lowpriority,8,64,0,0.101
windows-e8sv4-lowpriority,8,64,0,0.349
linux-e16-4s-v4-lowpriority,4,128,0,0.202
windows-e16-4s-v4-lowpriority,4,128,0,0.698
linux-e16-8s-v4-lowpriority,8,128,0,0.202
windows-e16-8s-v4-lowpriority,8,128,0,0.698
linux-e16sv4-lowpriority,16,128,0,0.202
windows-e16sv4-lowpriority,16,128,0,0.698
linux-e20sv4-lowpriority,20,160,0,0.252
windows-e20sv4-lowpriority,20,160,0,0.872
linux-e32-8s-v4-lowpriority,8,256,0,0.403
windows-e32-8s-v4-lowpriority,8,256,0,1.395
linux-e32-16s-v4-lowpriority,16,256,0,0.403
windows-e32-16s-v4-lowpriority,16,256,0,1.395
linux-e32sv4-lowpriority,32,256,0,0.403
windows-e32sv4-lowpriority,32,256,0,1.395
linux-e48sv4-lowpriority,48,384,0,0.605
windows-e48sv4-lowpriority,48,384,0,2.093
linux-e64-16s-v4-lowpriority,16,504,0,0.806
windows-e64-16s-v4-lowpriority,16,504,0,2.79
linux-e64-32s-v4-lowpriority,32,504,0,0.806
windows-e64-32s-v4-lowpriority,32,504,0,2.79
linux-e64sv4-lowpriority,64,504,0,0.806
windows-e64sv4-lowpriority,64,504,0,2.79
linux-e2sv4-standard,2,16,0,0.126
windows-e2sv4-standard,2,16,0,0.218
linux-e4-2s-v4-standard,2,32,0,0.252
windows-e4-2s-v4-standard,2,32,0,0.436
linux-e4sv4-standard,4,32,0,0.252
windows-e4sv4-standard,4,32,0,0.436
linux-e8-2s-v4-standard,2,64,0,0.504
windows-e8-2s-v4-standard,2,64,0,0.872
linux-e8-4s-v4-standard,4,64,0,0.504
windows-e8-4s-v4-standard,4,64,0,0.872
linux-e8sv4-standard,8,64,0,0.504
windows-e8sv4-standard,8,64,0,0.872
linux-e16-4s-v4-standard,4,128,0,1.008
windows-e16-4s-v4-standard,4,128,0,1.744
linux-e16-8s-v4-standard,8,128,0,1.008
windows-e16-8s-v4-standard,8,128,0,1.744
linux-e16sv4-standard,16,128,0,1.008
windows-e16sv4-standard,16,128,0,1.744
linux-e20sv4-standard,20,160,0,1.26
windows-e20sv4-standard,20,160,0,2.18
linux-e32-8s-v4-standard,8,256,0,2.016
windows-e32-8s-v4-standard,8,256,0,3.488
linux-e32-16s-v4-standard,16,256,0,2.016
windows-e32-16s-v4-standard,16,256,0,3.488
linux-e32sv4-standard,32,256,0,2.016
windows-e32sv4-standard,32,256,0,3.488
linux-e48sv4-standard,48,384,0,3.024
windows-e48sv4-standard,48,384,0,5.232
linux-e64-16s-v4-standard,16,504,0,4.032
windows-e64-16s-v4-standard,16,504,0,6.976
linux-e64-32s-v4-standard,32,504,0,4.032
windows-e64-32s-v4-standard,32,504,0,6.976
linux-e64sv4-standard,64,504,0,4.032
windows-e64sv4-standard,64,504,0,6.976
linux-e80isv4-standard,80,504,2400,5.04
windows-e80isv4-standard,80,504,2400,8.72
linux-e2sv5-standard,2,16,0,0.126
windows-e2sv5-standard,2,16,0,0.218
